         1453331 function calls (1433860 primitive calls) in 2.822 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.611    0.306    0.611    0.306 {built-in method matplotlib._png.write_png}
    22951    0.123    0.000    0.125    0.000 plot_gtex.py:65(binary_search)
        1    0.105    0.105    2.204    2.204 plot_gtex.py:136(main)
    28833    0.097    0.000    0.097    0.000 {method 'split' of 'str' objects}
    19090    0.079    0.000    0.079    0.000 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.066    0.066    0.190    0.190 plot_gtex.py:97(meta_data)
      252    0.064    0.000    0.064    0.000 {built-in method marshal.loads}
    19982    0.051    0.000    0.051    0.000 {built-in method numpy.array}
    36/35    0.046    0.001    0.049    0.001 {built-in method _imp.create_dynamic}
       82    0.042    0.001    0.042    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
    45931    0.038    0.000    0.042    0.000 plot_gtex.py:43(linear_search)
        1    0.032    0.032    0.032    0.032 {method 'dot' of 'numpy.ndarray' objects}
    16425    0.032    0.000    0.116    0.000 fromnumeric.py:69(_wrapreduction)
     2467    0.031    0.000    0.053    0.000 inspect.py:614(cleandoc)
 1064/971    0.026    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        2    0.023    0.012    0.023    0.012 backend_agg.py:80(__init__)
      384    0.023    0.000    0.050    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      246    0.022    0.000    0.022    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
      436    0.018    0.000    0.243    0.001 _base.py:2425(handle_single_axis)
     1254    0.018    0.000    0.018    0.000 {built-in method posix.stat}
      132    0.017    0.000    0.022    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
52812/52807    0.017    0.000    0.033    0.000 {built-in method builtins.isinstance}
    285/1    0.016    0.000    2.823    2.823 {built-in method builtins.exec}
     3869    0.016    0.000    0.016    0.000 {built-in method numpy.dot}
      334    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
19887/15366    0.016    0.000    0.030    0.000 artist.py:219(stale)
    20469    0.015    0.000    0.036    0.000 __init__.py:810(__getitem__)
143514/143005    0.015    0.000    0.015    0.000 {built-in method builtins.len}
      252    0.015    0.000    0.020    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      655    0.014    0.000    0.069    0.000 transforms.py:708(intersection)
    23717    0.013    0.000    0.016    0.000 {built-in method builtins.getattr}
   129870    0.013    0.000    0.013    0.000 {method 'append' of 'list' objects}
      662    0.012    0.000    0.128    0.000 lines.py:751(draw)
      875    0.012    0.000    0.028    0.000 numeric.py:2508(within_tol)
      403    0.012    0.000    0.090    0.000 lines.py:273(__init__)
     1330    0.012    0.000    0.017    0.000 transforms.py:2791(nonsingular)
    11291    0.010    0.000    0.010    0.000 {built-in method builtins.hasattr}
2679/1579    0.010    0.000    0.032    0.000 transforms.py:2395(get_affine)
     2402    0.010    0.000    0.029    0.000 transforms.py:726(__init__)
  470/185    0.009    0.000    0.025    0.000 sre_parse.py:470(_parse)
    28927    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
 1768/878    0.009    0.000    0.023    0.000 units.py:142(get_converter)
     6811    0.009    0.000    0.016    0.000 abc.py:180(__instancecheck__)
4442/1869    0.008    0.000    0.010    0.000 transforms.py:137(_invalidate_internal)
      355    0.008    0.000    0.037    0.000 lines.py:667(recache)
    16425    0.008    0.000    0.008    0.000 fromnumeric.py:70(<dictcomp>)
     9799    0.008    0.000    0.008    0.000 transforms.py:82(__init__)
      218    0.008    0.000    0.015    0.000 _base.py:2415(<listcomp>)
      479    0.007    0.000    0.068    0.000 text.py:270(_get_layout)
    26801    0.007    0.000    0.007    0.000 artist.py:1020(sticky_edges)
    22001    0.007    0.000    0.007    0.000 {built-in method builtins.min}
     5996    0.007    0.000    0.048    0.000 fromnumeric.py:2512(amin)
     6023    0.007    0.000    0.012    0.000 transforms.py:1683(__init__)
     1773    0.007    0.000    0.008    0.000 transforms.py:164(set_children)
     3757    0.007    0.000    0.007    0.000 {method 'copy' of 'numpy.ndarray' objects}
      638    0.007    0.000    0.019    0.000 inspect.py:2102(_signature_from_function)
     6001    0.007    0.000    0.043    0.000 fromnumeric.py:2397(amax)
     5296    0.007    0.000    0.031    0.000 transforms.py:1025(get_points)
      516    0.006    0.000    0.031    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
       82    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
    10497    0.006    0.000    0.006    0.000 _weakrefset.py:70(__contains__)
      293    0.006    0.000    0.008    0.000 __init__.py:1673(normalize_kwargs)
    24512    0.006    0.000    0.006    0.000 {method 'startswith' of 'str' objects}
  971/176    0.006    0.000    0.016    0.000 sre_compile.py:64(_compile)
      875    0.006    0.000    0.057    0.000 numeric.py:2431(isclose)
      168    0.006    0.000    0.006    0.000 {built-in method posix.getcwd}
       27    0.005    0.000    0.030    0.001 __init__.py:908(_rc_params_in_file)
      606    0.005    0.000    0.008    0.000 artist.py:74(__init__)
    28512    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
     3956    0.005    0.000    0.013    0.000 transforms.py:1819(__init__)
      252    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
      588    0.005    0.000    0.025    0.000 inspect.py:1089(getfullargspec)
      436    0.005    0.000    0.009    0.000 _base.py:2434(<listcomp>)
      397    0.005    0.000    0.009    0.000 transforms.py:671(translated)
     3718    0.005    0.000    0.060    0.000 re.py:286(_compile)
     2487    0.005    0.000    0.026    0.000 transforms.py:347(xmin)
      472    0.004    0.000    0.078    0.000 transforms.py:697(union)
     2487    0.004    0.000    0.022    0.000 transforms.py:357(xmax)
        2    0.004    0.002    0.020    0.010 font_manager.py:1240(_findfont_cached)
    12136    0.004    0.000    0.004    0.000 transforms.py:946(get_points)
     1756    0.004    0.000    0.010    0.000 numeric.py:2656(seterr)
     2510    0.004    0.000    0.021    0.000 transforms.py:362(ymax)
     2505    0.004    0.000    0.021    0.000 transforms.py:352(ymin)
      252    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      218    0.004    0.000    0.004    0.000 _base.py:2416(<listcomp>)
    25744    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
       12    0.004    0.000    0.042    0.004 artist.py:1277(_get_setters_and_targets)
      672    0.004    0.000    0.018    0.000 artist.py:942(update)
     1193    0.004    0.000    0.006    0.000 font_manager.py:660(__hash__)
6648/6644    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
       32    0.004    0.000    0.004    0.000 {built-in method io.open}
     1953    0.004    0.000    0.007    0.000 inspect.py:2452(__init__)
     1756    0.004    0.000    0.004    0.000 numeric.py:2758(geterr)
    19889    0.004    0.000    0.004    0.000 artist.py:774(get_animated)
     2561    0.004    0.000    0.020    0.000 colors.py:149(to_rgba)
      876    0.004    0.000    0.012    0.000 _base.py:3143(_validate_converted_limits)
      681    0.004    0.000    0.005    0.000 inspect.py:2732(__init__)
     1174    0.004    0.000    0.004    0.000 {built-in method builtins.sorted}
     5934    0.004    0.000    0.004    0.000 {built-in method builtins.abs}
     3173    0.004    0.000    0.004    0.000 {built-in method __new__ of type object at 0x100802ea8}
      425    0.003    0.000    0.097    0.000 text.py:852(get_window_extent)
      218    0.003    0.000    0.003    0.000 _base.py:2417(<listcomp>)
    932/2    0.003    0.000    0.339    0.170 artist.py:30(draw_wrapper)
     1141    0.003    0.000    0.042    0.000 transforms.py:1377(transform)
 1635/841    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
      166    0.003    0.000    0.079    0.000 text.py:655(draw)
      218    0.003    0.000    0.272    0.001 _base.py:2388(autoscale_view)
      428    0.003    0.000    0.004    0.000 {built-in method matplotlib._path.update_path_extents}
      320    0.003    0.000    0.007    0.000 transforms.py:1914(rotate)
