         1453371 function calls (1433900 primitive calls) in 22.949 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    68882   20.315    0.000   20.322    0.000 plot_gtex.py:43(linear_search)
        2    0.598    0.299    0.598    0.299 {built-in method matplotlib._png.write_png}
        1    0.125    0.125   22.318   22.318 plot_gtex.py:136(main)
    28833    0.097    0.000    0.097    0.000 {method 'split' of 'str' objects}
      252    0.069    0.000    0.069    0.000 {built-in method marshal.loads}
        1    0.067    0.067    0.190    0.190 plot_gtex.py:97(meta_data)
    19090    0.065    0.000    0.065    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    36/35    0.052    0.001    0.055    0.002 {built-in method _imp.create_dynamic}
    19982    0.048    0.000    0.048    0.000 {built-in method numpy.array}
       82    0.042    0.001    0.042    0.001 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.033    0.033    0.033    0.033 {method 'dot' of 'numpy.ndarray' objects}
     2467    0.031    0.000    0.051    0.000 inspect.py:614(cleandoc)
    16425    0.029    0.000    0.101    0.000 fromnumeric.py:69(_wrapreduction)
 1064/971    0.027    0.000    0.088    0.000 {built-in method builtins.__build_class__}
        2    0.024    0.012    0.024    0.012 backend_agg.py:80(__init__)
      384    0.023    0.000    0.048    0.000 {method 'draw_path' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      246    0.022    0.000    0.022    0.000 {method 'set_text' of 'matplotlib.ft2font.FT2Font' objects}
     1254    0.019    0.000    0.019    0.000 {built-in method posix.stat}
    285/1    0.019    0.000   22.949   22.949 {built-in method builtins.exec}
52812/52807    0.017    0.000    0.033    0.000 {built-in method builtins.isinstance}
      132    0.017    0.000    0.022    0.000 {method 'draw_markers' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
      436    0.017    0.000    0.222    0.001 _base.py:2425(handle_single_axis)
      252    0.016    0.000    0.022    0.000 <frozen importlib._bootstrap_external>:830(get_data)
      334    0.016    0.000    0.016    0.000 {method 'decompress' of 'zlib.Decompress' objects}
19887/15366    0.016    0.000    0.029    0.000 artist.py:219(stale)
143514/143005    0.015    0.000    0.015    0.000 {built-in method builtins.len}
    20469    0.015    0.000    0.038    0.000 __init__.py:810(__getitem__)
     3869    0.015    0.000    0.015    0.000 {built-in method numpy.dot}
   129870    0.014    0.000    0.014    0.000 {method 'append' of 'list' objects}
      655    0.013    0.000    0.061    0.000 transforms.py:708(intersection)
    23717    0.013    0.000    0.015    0.000 {built-in method builtins.getattr}
      403    0.012    0.000    0.087    0.000 lines.py:273(__init__)
      662    0.012    0.000    0.124    0.000 lines.py:751(draw)
      875    0.011    0.000    0.027    0.000 numeric.py:2508(within_tol)
     1330    0.011    0.000    0.015    0.000 transforms.py:2791(nonsingular)
    11291    0.010    0.000    0.011    0.000 {built-in method builtins.hasattr}
2679/1579    0.010    0.000    0.031    0.000 transforms.py:2395(get_affine)
  470/185    0.009    0.000    0.025    0.000 sre_parse.py:470(_parse)
    28927    0.009    0.000    0.009    0.000 {method 'rstrip' of 'str' objects}
 1768/878    0.009    0.000    0.023    0.000 units.py:142(get_converter)
     2402    0.009    0.000    0.027    0.000 transforms.py:726(__init__)
4442/1869    0.008    0.000    0.009    0.000 transforms.py:137(_invalidate_internal)
     6811    0.008    0.000    0.016    0.000 abc.py:180(__instancecheck__)
      218    0.008    0.000    0.015    0.000 _base.py:2415(<listcomp>)
    26801    0.008    0.000    0.008    0.000 artist.py:1020(sticky_edges)
      355    0.008    0.000    0.036    0.000 lines.py:667(recache)
    16425    0.008    0.000    0.008    0.000 fromnumeric.py:70(<dictcomp>)
     9799    0.008    0.000    0.008    0.000 transforms.py:82(__init__)
     1773    0.007    0.000    0.008    0.000 transforms.py:164(set_children)
    22001    0.007    0.000    0.007    0.000 {built-in method builtins.min}
      516    0.007    0.000    0.034    0.000 <frozen importlib._bootstrap_external>:1233(find_spec)
      638    0.006    0.000    0.017    0.000 inspect.py:2102(_signature_from_function)
     3757    0.006    0.000    0.006    0.000 {method 'copy' of 'numpy.ndarray' objects}
     6023    0.006    0.000    0.011    0.000 transforms.py:1683(__init__)
     5996    0.006    0.000    0.042    0.000 fromnumeric.py:2512(amin)
     5296    0.006    0.000    0.030    0.000 transforms.py:1025(get_points)
       32    0.006    0.000    0.006    0.000 {built-in method io.open}
      168    0.006    0.000    0.006    0.000 {built-in method posix.getcwd}
      293    0.006    0.000    0.008    0.000 __init__.py:1673(normalize_kwargs)
       82    0.006    0.000    0.006    0.000 {method 'draw_glyphs_to_bitmap' of 'matplotlib.ft2font.FT2Font' objects}
     6001    0.006    0.000    0.036    0.000 fromnumeric.py:2397(amax)
    10497    0.006    0.000    0.006    0.000 _weakrefset.py:70(__contains__)
  971/176    0.006    0.000    0.016    0.000 sre_compile.py:64(_compile)
      479    0.006    0.000    0.063    0.000 text.py:270(_get_layout)
      252    0.005    0.000    0.005    0.000 {method 'read' of '_io.FileIO' objects}
    24532    0.005    0.000    0.005    0.000 {method 'startswith' of 'str' objects}
      606    0.005    0.000    0.008    0.000 artist.py:74(__init__)
    28512    0.005    0.000    0.005    0.000 {method 'lstrip' of 'str' objects}
      875    0.005    0.000    0.052    0.000 numeric.py:2431(isclose)
       27    0.005    0.000    0.025    0.001 __init__.py:908(_rc_params_in_file)
      436    0.005    0.000    0.008    0.000 _base.py:2434(<listcomp>)
      588    0.005    0.000    0.023    0.000 inspect.py:1089(getfullargspec)
     3956    0.005    0.000    0.012    0.000 transforms.py:1819(__init__)
     2487    0.005    0.000    0.024    0.000 transforms.py:347(xmin)
      252    0.004    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
     3718    0.004    0.000    0.060    0.000 re.py:286(_compile)
     1756    0.004    0.000    0.010    0.000 numeric.py:2656(seterr)
      397    0.004    0.000    0.008    0.000 transforms.py:671(translated)
        2    0.004    0.002    0.020    0.010 font_manager.py:1240(_findfont_cached)
      218    0.004    0.000    0.004    0.000 _base.py:2416(<listcomp>)
      472    0.004    0.000    0.068    0.000 transforms.py:697(union)
    25744    0.004    0.000    0.004    0.000 {method 'items' of 'dict' objects}
      672    0.004    0.000    0.017    0.000 artist.py:942(update)
     1193    0.004    0.000    0.006    0.000 font_manager.py:660(__hash__)
     1756    0.004    0.000    0.004    0.000 numeric.py:2758(geterr)
6648/6644    0.004    0.000    0.005    0.000 {method 'join' of 'str' objects}
     2487    0.004    0.000    0.019    0.000 transforms.py:357(xmax)
     1953    0.004    0.000    0.006    0.000 inspect.py:2452(__init__)
    12136    0.004    0.000    0.004    0.000 transforms.py:946(get_points)
       12    0.003    0.000    0.040    0.003 artist.py:1277(_get_setters_and_targets)
      218    0.003    0.000    0.003    0.000 _base.py:2417(<listcomp>)
     1174    0.003    0.000    0.004    0.000 {built-in method builtins.sorted}
     2510    0.003    0.000    0.018    0.000 transforms.py:362(ymax)
     1141    0.003    0.000    0.040    0.000 transforms.py:1377(transform)
     2561    0.003    0.000    0.017    0.000 colors.py:149(to_rgba)
     2505    0.003    0.000    0.018    0.000 transforms.py:352(ymin)
     3173    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x10d262ea8}
 1635/841    0.003    0.000    0.004    0.000 sre_parse.py:173(getwidth)
      218    0.003    0.000    0.252    0.001 _base.py:2388(autoscale_view)
      681    0.003    0.000    0.005    0.000 inspect.py:2732(__init__)
      876    0.003    0.000    0.012    0.000 _base.py:3143(_validate_converted_limits)
    19889    0.003    0.000    0.003    0.000 artist.py:774(get_animated)
       36    0.003    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
      304    0.003    0.000    0.050    0.000 <frozen importlib._bootstrap>:870(_find_spec)
      166    0.003    0.000    0.078    0.000 text.py:655(draw)
      425    0.003    0.000    0.088    0.000 text.py:852(get_window_extent)
    932/2    0.003    0.000    0.328    0.164 artist.py:30(draw_wrapper)
      320    0.003    0.000    0.006    0.000 transforms.py:1914(rotate)
      428    0.003    0.000    0.004    0.000 {built-in method matplotlib._path.update_path_extents}
     1839    0.003    0.000    0.003    0.000 {built-in method _codecs.utf_8_decode}
      376    0.003    0.000    0.003    0.000 {built-in method zlib.crc32}
     5934    0.003    0.000    0.003    0.000 {built-in method builtins.abs}
     5168    0.003    0.000    0.003    0.000 sre_parse.py:232(__next)
     3323    0.003    0.000    0.003    0.000 {method 'match' of '_sre.SRE_Pattern' objects}
      219    0.003    0.000    0.028    0.000 _base.py:3161(set_xlim)
     1791    0.003    0.000    0.026    0.000 __init__.py:774(__setitem__)
    10757    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     4493    0.003    0.000    0.009    0.000 enum.py:267(__call__)
     5923    0.003    0.000    0.023    0.000 numeric.py:469(asarray)
      219    0.003    0.000    0.027    0.000 _base.py:3542(set_ylim)
    312/2    0.003    0.000    0.633    0.317 <frozen importlib._bootstrap>:966(_find_and_load)
      217    0.003    0.000    0.432    0.002 _axes.py:1433(plot)
      217    0.003    0.000    0.070    0.000 _base.py:363(_plot_args)
      676    0.003    0.000    0.003    0.000 font_manager.py:1119(score_stretch)
     2637    0.003    0.000    0.022    0.000 fromnumeric.py:2171(all)
      604    0.003    0.000    0.008    0.000 backend_bases.py:718(__init__)
     2718    0.003    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      252    0.003    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:743(get_code)
      355    0.003    0.000    0.003    0.000 stride_tricks.py:185(_broadcast_shape)
     3135    0.003    0.000    0.003    0.000 {built-in method builtins.max}
      641    0.003    0.000    0.021    0.000 inspect.py:2183(_signature_from_callable)
    10715    0.003    0.000    0.004    0.000 mathtext.py:2839(<genexpr>)
      906    0.003    0.000    0.003    0.000 {method 'search' of '_sre.SRE_Pattern' objects}
     4485    0.003    0.000    0.003    0.000 enum.py:517(__new__)
     1756    0.003    0.000    0.011    0.000 __init__.py:1651(safe_first_element)
      511    0.003    0.000    0.016    0.000 markers.py:292(set_marker)
     3052    0.002    0.000    0.009    0.000 colors.py:115(_is_nth_color)
     1708    0.002    0.000    0.009    0.000 {built-in method builtins.any}
      909    0.002    0.000    0.005    0.000 __init__.py:968(get_siblings)
        2    0.002    0.001    0.100    0.050 _base.py:4302(get_tightbbox)
     2718    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
     1869    0.002    0.000    0.012    0.000 transforms.py:126(invalidate)
      504    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
     3853    0.002    0.000    0.004    0.000 sre_parse.py:163(__getitem__)
      822    0.002    0.000    0.007    0.000 transforms.py:2299(__init__)
       30    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      376    0.002    0.000    0.005    0.000 colors.py:185(_to_rgba_no_colorcycle)
     2246    0.002    0.000    0.047    0.000 inspect.py:595(getdoc)
  449/448    0.002    0.000    0.008    0.000 transforms.py:1691(__eq__)
     1376    0.002    0.000    0.005    0.000 __init__.py:2012(_setattr_cm)
     1153    0.002    0.000    0.006    0.000 enum.py:803(__and__)
     3057    0.002    0.000    0.008    0.000 re.py:169(match)
 1699/633    0.002    0.000    0.412    0.001 <frozen importlib._bootstrap>:997(_handle_fromlist)
     1776    0.002    0.000    0.003    0.000 transforms.py:377(intervalx)
      403    0.002    0.000    0.005    0.000 lines.py:1145(set_linestyle)
      676    0.002    0.000    0.006    0.000 font_manager.py:1058(score_family)
     9611    0.002    0.000    0.002    0.000 {method 'pop' of 'dict' objects}
     1365    0.002    0.000    0.002    0.000 {built-in method matplotlib._path.affine_transform}
      455    0.002    0.000    0.002    0.000 {built-in method numpy.concatenate}
      428    0.002    0.000    0.008    0.000 transforms.py:824(update_from_path)
    13606    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
     1342    0.002    0.000    0.005    0.000 transforms.py:1776(transform_affine)
      585    0.002    0.000    0.004    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
     1839    0.002    0.000    0.005    0.000 codecs.py:318(decode)
      821    0.002    0.000    0.003    0.000 contextlib.py:59(__init__)
     3161    0.002    0.000    0.003    0.000 __init__.py:2151(_check_in_list)
      231    0.002    0.000    0.043    0.000 artist.py:709(set_clip_path)
     1330    0.002    0.000    0.003    0.000 getlimits.py:365(__new__)
     2010    0.002    0.000    0.012    0.000 artist.py:49(_stale_axes_callback)
     1791    0.002    0.000    0.017    0.000 fromnumeric.py:2083(any)
      878    0.002    0.000    0.006    0.000 {method 'all' of 'numpy.generic' objects}
        1    0.002    0.002    0.443    0.443 _axes.py:3775(bxp)
     3046    0.002    0.000    0.003    0.000 artist.py:338(pchanged)
    294/2    0.002    0.000    0.633    0.316 <frozen importlib._bootstrap>:651(_load_unlocked)
       20    0.002    0.000    0.061    0.003 axis.py:1074(_update_ticks)
     1663    0.002    0.000    0.008    0.000 __init__.py:1382(_to_unmasked_float_array)
      357    0.002    0.000    0.006    0.000 shape_base.py:599(column_stack)
     4738    0.002    0.000    0.012    0.000 numeric.py:541(asanyarray)
      220    0.002    0.000    0.003    0.000 sre_compile.py:250(_optimize_charset)
      604    0.002    0.000    0.008    0.000 path.py:96(__init__)
      238    0.002    0.000    0.027    0.000 patches.py:728(_update_patch_transform)
    10558    0.002    0.000    0.002    0.000 artist.py:194(axes)
     1470    0.002    0.000    0.002    0.000 {method 'format' of 'str' objects}
      293    0.002    0.000    0.009    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
     4171    0.002    0.000    0.002    0.000 {built-in method builtins.iter}
      320    0.002    0.000    0.008    0.000 transforms.py:1930(rotate_deg)
     1604    0.002    0.000    0.002    0.000 {method 'reshape' of 'numpy.ndarray' objects}
     2478    0.002    0.000    0.002    0.000 {method 'expandtabs' of 'str' objects}
     1835    0.002    0.000    0.003    0.000 transforms.py:386(intervaly)
      355    0.002    0.000    0.007    0.000 stride_tricks.py:208(broadcast_arrays)
        1    0.002    0.002    0.002    0.002 __init__.py:994(<listcomp>)
       23    0.002    0.000    0.004    0.000 abc.py:132(__new__)
       26    0.002    0.000    0.002    0.000 {built-in method builtins.dir}
      299    0.002    0.000    0.044    0.000 <frozen importlib._bootstrap_external>:1117(_get_spec)
     2516    0.002    0.000    0.004    0.000 __init__.py:1342(is_interactive)
     2511    0.002    0.000    0.011    0.000 figure.py:49(_stale_figure_callback)
     1407    0.002    0.000    0.007    0.000 units.py:122(is_numlike)
      400    0.002    0.000    0.002    0.000 transforms.py:2867(_interval_contains_close)
      217    0.002    0.000    0.100    0.000 _base.py:1894(add_line)
     4148    0.002    0.000    0.004    0.000 sre_parse.py:253(get)
      443    0.002    0.000    0.003    0.000 __init__.py:163(connect)
     2310    0.002    0.000    0.003    0.000 function_base.py:258(iterable)
        1    0.002    0.002    1.139    1.139 figure.py:2038(savefig)
     2248    0.002    0.000    0.009    0.000 artist.py:170(convert_xunits)
      217    0.002    0.000    0.046    0.000 _base.py:1920(_update_line_limits)
3007/2379    0.002    0.000    0.002    0.000 transforms.py:2357(<lambda>)
      225    0.002    0.000    0.002    0.000 _base.py:4248(get_children)
        1    0.002    0.002    0.012    0.012 __init__.py:1135(boxplot_stats)
      585    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:78(acquire)
     2514    0.002    0.000    0.006    0.000 pyplot.py:578(_auto_draw_if_interactive)
     1141    0.002    0.000    0.029    0.000 transforms.py:2371(transform_affine)
      408    0.002    0.000    0.033    0.000 artist.py:1241(get_valid_values)
  420/178    0.002    0.000    0.026    0.000 sre_parse.py:407(_parse_sub)
    307/2    0.002    0.000    0.633    0.316 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
      935    0.002    0.000    0.002    0.000 {built-in method numpy.result_type}
      585    0.002    0.000    0.002    0.000 <frozen importlib._bootstrap>:103(release)
      904    0.002    0.000    0.005    0.000 text.py:809(get_unitless_position)
